id,Name,category,subCategory,cptCode,loincCode,snomedCode,description,notes,sourceSheet
"TTES-LAB-URI-81001b","Routine Urinalysis","Laboratory Tests","Urine Studies","81001b","3094-0","363701006","Standard urinalysis including dipstick and microscopy","Lab Test","URINE STUDIES"
"TTES-LAB-URI-81002","Urine Microscopy","Laboratory Tests","Urine Studies","81002","3095-7","363788006","Microscopic analysis of urinary sediment","Lab Test","URINE STUDIES"
"TTES-LAB-URI-87001","Urine Microscopy/Culture/Sensitivity","Laboratory Tests","Urine Studies","87001","3094-0","363701006","Full culture and sensitivity for UTI","Lab Test","URINE STUDIES"
"TTES-LAB-URI-84550b","24 HR Urine Protein","Laboratory Tests","Urine Studies","84550b","2777-1","363703004","Quantitative protein excretion over 24 hours","Lab Test","URINE STUDIES"
"TTES-LAB-SPT-87100b","Sputum Microscopy","Laboratory Tests","Sputum","87100b","3022-5","363703004","Microscopic exam of respiratory secretions","Lab Test","SPUTUM"
"TTES-LAB-SPT-87101b","Sputum Microscopy/Culture/Sensitivity","Laboratory Tests","Sputum","87101b","3023-3","363789003","Culture and sensitivity for respiratory pathogens","Lab Test","SPUTUM"
"TTES-LAB-SPT-87102b","ZN Stain","Laboratory Tests","Sputum","87102b","11231-6","363752007","Ziehl-Neelsen stain for acid-fast bacilli","Lab Test","SPUTUM"
"TTES-LAB-SPT-86580","TB Quantiferon Gold","Laboratory Tests","Sputum","86580","24358-8","363718003","Interferon-gamma release assay for TB","Lab Test","SPUTUM"
"TTES-LAB-SPT-87266","PCP PCR","Laboratory Tests","Sputum","87266","49045-5","448751000000107","PCR for Pneumocystis jirovecii pneumonia","Lab Test","SPUTUM"
"TTES-LAB-SPT-87103b","Fungal Microscopy/Culture/Sensitivity","Laboratory Tests","Sputum","87103b","3024-1","363790002","Examines fungal elements in sputum","Lab Test","SPUTUM"
"TTES-LAB-SPT-87267","Atypical Pneumonia PCR","Laboratory Tests","Sputum","87267","49046-3","448761000000104","PCR for Mycoplasma, Legionella, Chlamydia pneumoniae","Lab Test","SPUTUM"
"TTES-LAB-MIC-87186b","Malaria Parasite","Laboratory Tests","Infectious Diseases","87186b","1559-4","363748001","Microscopic examination for malaria parasites","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87187b","Malaria Species Genotype PCR","Laboratory Tests","Infectious Diseases","87187b","49037-1","448671000000100","PCR-based identification of malaria species","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87265b","Tick Bite Fever Rickettsia PCR","Laboratory Tests","Infectious Diseases","87265b","49038-9","448681000000105","PCR test for rickettsia species causing tick-borne fever","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-86703b","Toxoplasma Antibody","Laboratory Tests","Infectious Diseases","86703b","10842-3","363749009","Test for Toxoplasma gondii antibodies","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-86594b","Syphilis Serology","Laboratory Tests","Infectious Diseases","86594b","11357-9","363750004","Screening and confirmatory testing for syphilis","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87070b","Chlamydia Antigen","Laboratory Tests","Infectious Diseases","87070b","11281-1","363751000","Direct antigen test for Chlamydia trachomatis","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87100c","Trichomonas","Laboratory Tests","Infectious Diseases","87100c","11231-6","363752007","Test for Trichomonas vaginalis infection","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87101c","DNA Vaginitis Screen","Laboratory Tests","Infectious Diseases","87101c","49039-7","448691000000108","PCR panel for vaginitis pathogens","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87102c","H Pylori Antigen","Laboratory Tests","Infectious Diseases","87102c","17108-2","363753002","Stool antigen test for Helicobacter pylori","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-86693b","H Pylori Antibody","Laboratory Tests","Infectious Diseases","86693b","17109-0","363754008","Serological test for H. pylori exposure","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-MIC-87180b","Genital Screen","Laboratory Tests","Infectious Diseases","87180b","49040-5","448701000000106","Multi-pathogen screen for STIs","Lab Test","INFECTIOUS DISEASE"
"TTES-LAB-STO-87103c","Stool Microscopy","Laboratory Tests","Stool Panel","87103c","17801-2","363755009","Microscopic examination of stool for parasites","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87104b","Stool Microscopy Culture Sensitivity","Laboratory Tests","Stool Panel","87104b","17802-0","363756005","Culture and sensitivity for bacterial stool pathogens","Lab Test","STOOL PANEL"
"TTES-LAB-STO-82270b","Faecal Occult Blood","Laboratory Tests","Stool Panel","82270b","14901-7","363757001","Test for hidden blood in stool","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87250c","Rota/Adenovirus Antigen","Laboratory Tests","Stool Panel","87250c","31314-7","363758006","Test for viral causes of gastroenteritis","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87182b","C Difficile Toxin PCR","Laboratory Tests","Stool Panel","87182b","49041-3","448711000000104","PCR test for Clostridioides difficile toxin genes","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87183b","Shiga Producing E Coli Toxin","Laboratory Tests","Stool Panel","87183b","49042-1","448721000000106","PCR test for STEC strains","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87184b","Vibrio Cholerae Toxin","Laboratory Tests","Stool Panel","87184b","49043-9","448731000000108","PCR test for Vibrio cholerae toxins","Lab Test","STOOL PANEL"
"TTES-LAB-STO-87185b","Gastrointestinal Pathogen Panel","Laboratory Tests","Stool Panel","87185b","49044-7","448741000000100","Multi-pathogen PCR panel for GI infections","Lab Test","STOOL PANEL"
